label,horizon,full_rmse,obs_rmse,full_mae,mape
persistence,1,0.0005386353004723787,0.001296587404794991,0.00013360395678319037,15.5728178024292
kinetic_prior,1,0.0010710894130170345,0.0010676124366000295,0.0006776206428185105,60.81218719482422
persistence,3,0.0009100661845877767,0.0016116196056827903,0.0003010316286236048,18.837995529174805
kinetic_prior,3,0.0010729641653597355,0.001078448025509715,0.000679666583891958,60.81218719482422
persistence,6,0.0012816275702789426,0.0016210691537708044,0.0005165076581761241,20.697263717651367
kinetic_prior,6,0.0010788270737975836,0.001095223124139011,0.0006822379073128104,60.81218719482422
persistence,12,0.001811221824027598,0.0016829888336360455,0.0008490561158396304,26.8948917388916
kinetic_prior,12,0.0010930304415524006,0.001117104198783636,0.0006859715795144439,57.57437515258789
gru,1,0.00863939244300127,0.008367015048861504,0.0037859741132706404,42.925907135009766
gru,3,0.002010878175497055,0.0022410377860069275,0.0009676204062998295,21.451623916625977
gru,6,0.011827480979263783,0.012461691163480282,0.005223192274570465,48.866634368896484
gru,12,0.007264802698045969,0.008382541127502918,0.003259098157286644,38.58062744140625
transformer,1,0.004409493878483772,0.004651159979403019,0.0019882747437804937,36.77760314941406
transformer,3,0.004317897371947765,0.004265417344868183,0.0018036130350083113,26.71453285217285
transformer,6,0.0030974321998655796,0.0037705262657254934,0.0011468601878732443,22.81664276123047
transformer,12,0.0027209080290049314,0.0027155117131769657,0.0010099950013682246,18.503662109375
gru_fused_iv,1,0.0008575585670769215,0.0008935739751905203,0.0005103787989355624,34.70897674560547
gru_fused_kgc,1,0.0008583348099228212,0.0008920821996038713,0.0005268321244246834,32.404161239349556
gru_fused_iv,3,0.0007423707284033298,0.000801142945419997,0.00042420902173034847,33.65678405761719
gru_fused_kgc,3,0.0007335493686809164,0.0007965541343187625,0.000420648143701699,32.69977950348933
gru_fused_iv,6,0.0008460982353426516,0.000898851256351918,0.000511548831127584,33.83928298950195
gru_fused_kgc,6,0.0010552896338459747,0.0011401408306586365,0.0006578622530320915,33.9262979405868
gru_fused_iv,12,0.0008547388133592904,0.0009115787106566131,0.000503026822116226,32.046051025390625
gru_fused_kgc,12,0.0006279789236096271,0.0007343262500162906,0.00046735975391743974,30.189234015069015
transformer_fused_iv,1,0.0009442568407393992,0.0009685112745501101,0.0005539597477763891,35.65324020385742
transformer_fused_kgc,1,0.0011779483058478224,0.0011737542849888896,0.000696159733949745,38.255664353673616
transformer_fused_iv,3,0.0006921577150933444,0.0007410674006678164,0.0004027121467515826,30.9394474029541
transformer_fused_kgc,3,0.0006109860047907406,0.0006842610483517219,0.00041161351258648077,30.911112773711768
transformer_fused_iv,6,0.0007777048740535975,0.0008309046970680356,0.0004428060492500663,33.522090911865234
transformer_fused_kgc,6,0.0008531141627960913,0.0008955143852823022,0.0004957790042431181,34.86817480981564
transformer_fused_iv,12,0.0006922449101693928,0.0007677027606405318,0.0004112237656954676,33.46290969848633
transformer_fused_kgc,12,0.0006531209736770828,0.0007387968028641955,0.0004125595293042179,32.7996722343278
